MetricID,EmployeeID,ProjectCompletionRate,TotalTasksCompleted,AverageTrainingHours,EmployeeSatisfactionScore,PerformanceReviewDate
1,1,85,45,20,4.5,2023-12-01
2,2,90,50,15,4.7,2023-12-01
3,3,80,30,10,4.2,2023-12-01
4,4,88,40,25,4.6,2023-12-01
5,5,75,35,18,4.1,2023-12-01
6,6,92,55,30,4.9,2023-12-01
7,7,78,28,12,3.8,2023-12-01
8,8,85,47,22,4.4,2023-12-01
9,9,77,33,20,4,2023-12-01
10,10,89,48,28,4.5,2023-12-01
11,11,75,40,17,3.9,2023-12-01
12,12,92,36,24,4.8,2023-12-01
13,13,78,42,10,4.1,2023-12-01
14,14,84,44,30,4.3,2023-12-01
15,15,76,29,22,3.7,2023-12-01
16,16,85,48,28,4.6,2023-12-01
17,17,81,51,19,4.2,2023-12-01
18,18,91,34,14,4.9,2023-12-01
19,19,83,39,25,4.5,2023-12-01
20,20,87,33,29,4.6,2023-12-01
21,21,90,30,15,4.7,2023-12-01
22,22,79,27,18,4,2023-12-01
23,23,85,49,20,4.5,2023-12-01
24,24,91,38,14,4.8,2023-12-01
25,25,82,41,17,4.3,2023-12-01
26,26,88,46,27,4.6,2023-12-01
27,27,76,32,23,3.9,2023-12-01
28,28,92,35,24,4.9,2023-12-01
29,29,87,50,13,4.8,2023-12-01
30,30,77,25,22,4.1,2023-12-01
31,31,84,52,28,4.5,2023-12-01
32,32,80,30,26,4.2,2023-12-01
33,33,82,41,21,4.4,2023-12-01
34,34,90,56,16,4.7,2023-12-01
35,35,79,31,19,4,2023-12-01
36,36,89,44,12,4.6,2023-12-01
37,37,85,40,25,4.5,2023-12-01
38,38,91,47,14,4.9,2023-12-01
39,39,77,29,20,4.1,2023-12-01
40,40,80,55,10,4.2,2023-12-01
41,41,86,49,15,4.4,2023-12-01
42,42,92,34,26,4.9,2023-12-01
43,43,88,33,13,4.6,2023-12-01
44,44,76,28,19,4.1,2023-12-01
45,45,84,53,29,4.5,2023-12-01
46,46,91,36,21,4.8,2023-12-01
47,47,83,45,24,4.3,2023-12-01
48,48,77,28,16,4,2023-12-01
49,49,86,38,20,4.5,2023-12-01
50,50,93,46,12,4.9,2023-12-01
